site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
DE-Spw,,6.5,,61,558,8.7,FLUXNET2015,F15,,141,,51.892,14.034,WET,Cfb,23.8,,2010,2014,13.00402962,0.232749999,0.138395995,0.091280997,0.455779999,0.094354004
DK-NuF,,6.5,,,,,,F15,,,54,64.131,-51.386,WET,ET,0.1,,,,,0.291130006,0.190760002,0.093447,0.512090027,0.100370005
HU-Mat,,2.9,,,,,,LT,,110,,47.847,19.726,GRA,Cfb,0.2,,,,4.869887445,0.31705001,0.171100006,0.139730006,0.453000009,0.145950004
IS-Gun,,5.7,,,,,,LT,,0,,63.833,-20.217,DBF,Cfb,,,,,0,0.335880011,0.219319999,0.10853,0.526449978,0.116560012
IT-La2,,4.5,,1350,1150,7.2,,F15,,180,78,45.954,11.285,ENF,Cfb,28,,,,12.50258533,0.421299994,0.258230001,0.151429996,0.572139978,0.163069993
JP-Tef,,5.5,,,,,,LT,1.63,111,,45.056,142.106,MF,Cfa,25,7.4,,,9.341004896,0.343499988,0.224680007,0.111610003,0.514609993,0.118819982
JP-Tom,,5.5,,,,,,LT,,55,87,42.739,141.515,MF,Cfa,15,9.2,,,5.867679799,0.352140009,0.227980003,0.11705,0.511950016,0.124160007
NO-Adv,,6.5,,,,,,F15,,,,78.186,15.923,WET,ET,0.4,,,,0,0.330559999,0.210830003,0.11338,0.493090004,0.119729996
PA-SPn,,4.7,,78,2350,26.5,FLUXNET2015,F15,1.555,24,91,9.318,-79.635,DBF,Am,12,5.4,2007,2009,2.316089545,0.332370013,0.157550007,0.167429999,0.458079994,0.174820006
PA-SPs,,4.2,,68,2350,26.5,FLUXNET2015,F15,,27,91,9.314,-79.631,GRA,Am,0.09,,2007,2009,3.69083517,0.348619998,0.1602,0.180179998,0.469150007,0.188419998
RU-Cok,,3.9,,48,232,-14.3,,F15,,0,95,70.829,147.494,OSH,Dsc,0.5,1.5,,,0.001510098,0.426259995,0.264649987,0.1505,0.569589972,0.161610007
RU-Ha1,,3.8,,446,591.87,-0.07,FLUXNET2015,F15,,0,97,54.725,90.002,GRA,Dwc,0.5,,2002,2004,0,0.341369987,0.209189996,0.125609994,0.490330011,0.13217999
RU-SkP,,,,246,,,FLUXNET2015,F15,,17,,62.255,129.168,DNF,Dfb,18,1,2012,2014,2.438870523,0.491329998,0.298830003,0.174160004,0.631630003,0.192499995
SE-Fla,,2.4,,,,,,LT,1.15,88,47,64.113,19.457,ENF,Dfc,12.7,3.4,,,8.243276505,0.338440001,0.226730004,0.102580003,0.53895998,0.111709997
SE-St1,,6.5,,351,303.3,-0.7,,F15,,34,101,68.354,19.05,WET,ET,0.05,,,,0.124718123,0.335209996,0.23037,0.097491004,0.520430028,0.104839996
SN-Dhr,,3.8,,40,404,29,FLUXNET2015,F15,,0,102,15.403,-15.432,SAV,BWh,1.58,,2010,2013,0.062593787,0.160270005,0.074672997,0.085285999,0.384039998,0.085597008
UK-EBu,,5.4,,,,,,LT,,18,,55.866,-3.206,GRA,Cfb,0.4,3.9,,,1.262784871,0.337550014,0.201089993,0.129270002,0.50168997,0.136460021
US-Atq,-0.065,6.5,,15,93,-9.7,,F15,,0,,70.47,-157.409,WET,ET,0.3,1.1,,,0,0.357089996,0.21661,0.128910005,0.562390029,0.140479997
US-Brw,4.18,6.5,,,,,,LT,,0,108,71.323,-156.626,WET,ET,0.1,1.1,,,0,0.382660002,0.231220007,0.141179994,0.550580025,0.151439995
US-Dk1,4.8,4.2,,,,,,LT,,136,,35.971,-79.093,GRA,Cfa,0.55,2,,,13.21385554,0.271290004,0.164780006,0.101879999,0.421009988,0.106509998
US-Dk2,41.8,4.7,,,,,,LT,1.85,141,110,35.974,-79.1,DBF,Cfa,25,7.03,,,17.20429474,0.271290004,0.164780006,0.101879999,0.421009988,0.106509998
US-FR2,7.97,3.8,,,,,,LT,1.75,43,111,29.949,-97.996,SAV,Cfa,,2.8,,,3.506079411,0.304230005,0.142460003,0.155369997,0.425989985,0.161770001
US-GBT,30.2,2.6,,3191,1200,0.8,FLUXNET2015,F15,,108,,41.366,-106.24,ENF,Dfc,14.9,3,1999,2006,3.20400475,0.339419991,0.214000002,0.118539996,0.503040016,0.125419989
US-Ivo,3.8,6.5,,568,304,-8.28,,F15,,0,115,68.487,-155.75,WET,ET,0.3,,,,0,0.561320007,0.317629993,0.208570004,0.701489985,0.243690014
US-LPH,,4.7,,,,,,LT,,150,,42.542,-72.185,DBF,Dfb,16.5,4.5,,,14.22206632,0.278310001,0.183492005,0.089394003,0.481940001,0.094817996
US-Me5,18,2.5,,1188,590.81,6.47,FLUXNET2015,F15,1.01,120,122,44.437,-121.567,ENF,Csb,4.3,1.1,2000,2002,5.938611312,0.340110004,0.217519999,0.114650004,0.523949981,0.122590005
US-SO2,4.5,2.9,,,,,,LT,0.913,3,130,33.374,-116.623,CSH,Csa,1,3,,,0.243911992,0.220939994,0.115529999,0.102459997,0.401930004,0.105409995
US-SO3,,2.9,,,,,,LT,0.913,5,130,33.377,-116.623,CSH,Csa,0.5,1.1,,,0.071993794,0.221959993,0.115929998,0.103,0.401719987,0.106029995
US-SO4,5.8,2.9,,,,,,LT,0.913,6,130,33.384,-116.64,CSH,Csa,2.3,3,,,0.163081954,0.209509999,0.108549997,0.098609,0.396109998,0.100960001
US-SRC,3.75,3.9,,950,330,22,FLUXNET2015,F15,,0,,31.908,-110.84,OSH,BSk,1.7,,2008,2014,0,0.25711,0.108649999,0.142979994,0.378210008,0.148460001
US-Tw1,4.64,6.5,,-5,421,15.5,,F15,,0,,38.107,-121.647,WET,Csa,3.43,,,,0.096397444,0.362410009,0.178029999,0.176420003,0.473650008,0.18438001
US-UMd,32,4.7,,239,803,5.83,,F15,,139,137,45.563,-84.698,DBF,Dfb,23,4.52,,,17.59061704,0.266550004,0.168899998,0.092808999,0.467400014,0.097650006
US-Wi3,26,4.7,,411,,,,F15,,75,139,46.635,-91.099,DBF,Dfb,20.5,3.9,,,15.86783612,0.339659989,0.204750001,0.128010005,0.495719999,0.134909987
US-Wi4,23,5.8,,352,,,,F15,,126,139,46.739,-91.166,ENF,Dfb,18,2.8,,,15.93548477,0.354750007,0.213489994,0.132650003,0.528240025,0.141260013
US-WPT,3.2,6.5,,175,849,10.1,FLUXNET2015,F15,,6,,41.465,-82.996,WET,Dfa,1.7,,2011,2013,0.729831771,0.385360003,0.211309999,0.165419996,0.512690008,0.174050003
US-Wrc,67,2.5,,,,,,LT,0.75,224,141,45.82,-121.952,ENF,Csb,24.3,8.7,,,25.41308524,0.329059988,0.216690004,0.105209999,0.513859987,0.112369984
VU-Coc,,4.1,,,,,,LT,,29,142,-15.443,167.192,EBF,Af,16,5.65,,,3.464079088,0.365509987,0.176599994,0.180429995,0.482080013,0.188909993
AR-TF1,2.33,6.5,,40,,,AMF_FLX,,,,,-54.9733,-66.7335,WET,,,,2016,2018,0.688526721,0.359649986,0.226640001,0.125359997,0.518069983,0.133009985
BR-CST,10,,,468,642,25.2,AMF_FLX,,,,,-7.9682,-38.3842,DNF,Bsh,,,2014,2015,4.339988601,0.267379999,0.12139,0.140709996,0.402770013,0.145989999
BR-Npw,20,3.7,,120,1486,24.9,AMF_FLX,,,,,-16.498,-56.412,WSA,Aw,,,2013,2017,4.54354495,0.258569986,0.135429993,0.118330002,0.41148001,0.123139992
CA-ARB,7.5,6.5,,90,700,-1.3,AMF_FLX,,,,,52.695,-83.9452,WET,Dfb,,,2011,2015,0.034255513,0.410490006,0.232840002,0.164299995,0.57656002,0.177650005
CA-ARF,7.5,6.5,,88,700,-1.3,AMF_FLX,,,,,52.7008,-83.955,WET,Dfb,,,2011,2015,0.083016981,0.400590003,0.230020002,0.157739997,0.572210014,0.170570001
CA-Ca1,45,2.5,,300,1369,9.93,AMF_FLX,,,,,49.8673,-125.3336,ENF,Cfb,,,1996,2010,4.849758944,0.421030015,0.279419988,0.128470004,0.588810027,0.141610026
CA-Ca2,10,2.5,,300,1474,9.86,AMF_FLX,,,,,49.8705,-125.2909,ENF,Cfb,,,1999,2010,3.22277672,0.327580005,0.222350001,0.098931998,0.501919985,0.105230004
CA-Cbo,44,4.7,,120,876.34,6.66,AMF_FLX,,,,,44.3167,-79.9333,DBF,Dfb,,,1994,2020,17.65548117,0.312339991,0.199550003,0.106239997,0.50120002,0.112789989
CA-CF1,4,6.5,,16.5,452,-6.5,AMF_FLX,,,,,58.6658,-93.83,WET,Dfc,,,2007,2008,0,0.364140004,0.211060002,0.144449994,0.522899985,0.153080001
CA-DB2,3,6.5,,4,,,AMF_FLX,,,,,49.119,-122.9951,WET,,,,2019,2020,0.668984684,0.283789992,0.186618,0.091797002,0.47852999,0.097171992
CA-DBB,4.25,6.5,,4,1128,10,AMF_FLX,,,,,49.1293,-122.9849,WET,Csb,,,2014,2020,0.526913132,0.287239999,0.188334003,0.093276002,0.485280007,0.098905995
CA-ER1,5,4,,370,946,6.7,AMF_FLX,,,,,43.6405,-80.4123,CRO,Dfb,,,2015,2020,0.043008808,0.399049997,0.249770001,0.140200004,0.543150008,0.149279997
CA-Gro,43,5.5,,340,831,1.3,AMF_FLX,,,,,48.2167,-82.1556,MF,Dfb,,,2003,2014,15.88334135,0.503099978,0.276760012,0.186900005,0.68572998,0.226339966
CA-LP1,26,2.5,,751,570,2,AMF_FLX,,,,,55.1119,-122.8414,ENF,Csa,,,2007,2022,2.750781859,0.493629992,0.289180011,0.17238,0.66970998,0.204449981
CA-MA1,3,4,,261,514,2.6,AMF_FLX,,,,,50.1645,-97.8762,CRO,Dfb,,,2009,2011,0.133201431,0.404839993,0.215210006,0.177780002,0.554560006,0.189629987
CA-MA2,3,4,,261,514,2.6,AMF_FLX,,,,,50.171,-97.8762,CRO,Dfb,,,2009,2011,0.354995294,0.414119989,0.221959993,0.179639995,0.563510001,0.192159995
CA-MA3,3,3.6,,261,514,2.6,AMF_FLX,,,,,50.1774,-97.8686,GRA,Dfb,,,2009,2011,0.374964782,0.412349999,0.218920007,0.180600002,0.565039992,0.193429992
CA-NS1,24,5.8,,260,500.29,-2.89,AMF_FLX,,,,,55.8792,-98.4839,ENF,Dfc,,,2001,2005,3.503260668,0.427289993,0.194150001,0.21751,0.562820017,0.233139992
CA-NS2,20,5.8,,260,499.82,-2.88,AMF_FLX,,,,,55.9058,-98.5247,ENF,Dfc,,,2001,2005,4.62709343,0.445639998,0.205300003,0.222210005,0.585979998,0.240339994
CA-NS3,10,5.8,,260,502.22,-2.87,AMF_FLX,,,,,55.9117,-98.3822,ENF,Dfc,,,2001,2005,2.078467107,0.51831001,0.218529999,0.265430003,0.65903002,0.299780011
CA-NS4,10,5.8,,260,502.22,-2.87,AMF_FLX,,,,,55.9144,-98.3806,ENF,Dfc,,,2001,2005,1.994662071,0.51831001,0.218529999,0.265430003,0.65903002,0.299780011
CA-NS5,9,5.8,,260,500.34,-2.86,AMF_FLX,,,,,55.8631,-98.485,ENF,Dfc,,,2001,2005,2.462124562,0.456609994,0.215920001,0.220840007,0.603550017,0.240689993
